annotation;text;concept;chapter
blooded;sic ut terrestribus quidem, cunctis inter se similem;https://opentheso.huma-num.fr/?idc=5037&idt=th310;PLINE-11-annotéIPL
sepia;saepiae in mari sanguinis vires atramentum optineat;https://opentheso.huma-num.fr/?idc=106768&idt=th310;PLINE-11-annotéIPL
ink;saepiae in mari sanguinis vires atramentum optineat;https://opentheso.huma-num.fr/?idc=107231&idt=th310;PLINE-11-annotéIPL
fluid analogous to blood;saepiae in mari sanguinis vires atramentum optineat;https://opentheso.huma-num.fr/?idc=105187&idt=th310;PLINE-11-annotéIPL
marine;ut saepiae in mari sanguinis vires atramentum optineat, purpurarum generi infector ille sucus;https://opentheso.huma-num.fr/?idc=106935&idt=th310;PLINE-11-annotéIPL
purple;purpurarum generi infector ille sucus;https://opentheso.huma-num.fr/?idc=107209&idt=th310;PLINE-11-annotéIPL
fluid analogous to blood;purpurarum generi infector ille sucus;https://opentheso.huma-num.fr/?idc=105187&idt=th310;PLINE-11-annotéIPL
purple dye;purpurarum generi infector ille sucus;https://opentheso.huma-num.fr/?idc=107309&idt=th310;PLINE-11-annotéIPL
entomon;insectis;https://opentheso.huma-num.fr/?idc=107515&idt=th310;PLINE-11-annotéIPL
not blooded;verum ut saepiae in mari sanguinis vires atramentum optineat, purpurarum generi infector ille sucus, sic et insectis quisquis est vitalis umor, hic erit sanguis;https://opentheso.huma-num.fr/?idc=105780&idt=th310;PLINE-11-annotéIPL
fluid analogous to blood;insectis quisquis est vitalis umor, hic erit sanguis;https://opentheso.huma-num.fr/?idc=105187&idt=th310;PLINE-11-annotéIPL
entomon;Insecta;https://opentheso.huma-num.fr/?idc=107515&idt=th310;PLINE-11-annotéIPL
bone;nec ossa nec spinas nec cartilaginem;https://opentheso.huma-num.fr/?idc=pcrt448yYmVDuT&idt=th310;PLINE-11-annotéIPL
skeleton;nec ossa nec spinas nec cartilaginem;https://opentheso.huma-num.fr/?idc=106811&idt=th310;PLINE-11-annotéIPL
fat;pinguia;https://opentheso.huma-num.fr/?idc=105983&idt=th310;PLINE-11-annotéIPL
flesh;carnes;https://opentheso.huma-num.fr/?idc=105975&idt=th310;PLINE-11-annotéIPL
soft shell;ne crustam quidem fragilem ut quaedam marina;https://opentheso.huma-num.fr/?idc=105179&idt=th310;PLINE-11-annotéIPL
crustacea;ut quaedam marina;https://opentheso.huma-num.fr/?idc=105949&idt=th310;PLINE-11-annotéIPL
marine;ut quaedam marina;https://opentheso.huma-num.fr/?idc=106935&idt=th310;PLINE-11-annotéIPL
skin;nec quae iure dicatur cutis;https://opentheso.huma-num.fr/?idc=105170&idt=th310;PLINE-11-annotéIPL
general appearance;mediae cuiusdam inter omnia haec naturae corpus, arenti simile, nervo mollius, in reliquis partibus tutius vere quam durius;https://opentheso.huma-num.fr/?idc=105265&idt=th310;PLINE-11-annotéIPL
belly;nihil intus nisi admodum paucis [[10]]  intestinum inplicatum;https://opentheso.huma-num.fr/?idc=105148&idt=th310;PLINE-11-annotéIPL
digestive system;nihil intus nisi admodum paucis [[10]]  intestinum inplicatum;https://opentheso.huma-num.fr/?idc=105214&idt=th310;PLINE-11-annotéIPL
